id,since_start,progress
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,7,6
1,8,7
1,9,8
1,10,9
1,20,10
1,21,11
1,22,12
1,23,13
1,24,14
1,25,15
1,27,16
1,27,17
1,39,18
1,41,19
1,42,20
1,43,21
1,44,22
1,45,23
1,46,24
1,47,25
1,48,26
1,49,27
1,60,28
1,61,29
1,62,30
1,63,31
1,64,32
1,65,33
1,66,34
1,76,35
1,77,36
1,78,37
1,79,38
1,80,39
1,81,40
1,82,41
1,83,42
1,84,43
1,85,44
1,91,45
1,92,46
1,93,47
1,94,48
1,95,49
1,96,50
1,97,51
1,98,52
1,99,53
1,100,54
1,111,55
1,112,56
1,113,57
1,114,58
1,115,59
1,115,60
1,116,61
1,117,62
1,118,63
1,119,64
1,130,65
1,131,66
1,132,67
1,133,68
1,134,69
1,135,70
1,136,71
1,137,72
1,138,73
1,139,74
1,149,75
1,150,76
1,151,77
1,152,78
1,153,79
1,154,80
1,155,81
1,156,82
1,157,83
1,158,84
1,159,85
1,169,86
1,170,87
1,171,88
1,172,89
1,173,90
1,174,91
1,175,92
1,176,93
1,177,94
1,178,95
1,190,96
1,191,97
1,192,98
1,193,99
1,193,100
0,12,1
0,13,2
0,14,3
0,15,4
0,16,5
0,17,6
0,18,7
0,19,8
0,30,9
0,31,10
0,33,11
0,34,12
0,35,13
0,35,14
0,37,15
0,38,16
0,39,17
0,50,18
0,51,19
0,52,20
0,52,21
0,53,22
0,54,23
0,56,24
0,56,25
0,57,26
0,58,27
0,66,28
0,67,29
0,68,30
0,69,31
0,70,32
0,71,33
0,72,34
0,73,35
0,74,36
0,75,37
0,75,38
0,85,39
0,86,40
0,87,41
0,88,42
0,89,43
0,90,44
0,100,45
0,101,46
0,102,47
0,103,48
0,104,49
0,105,50
0,106,51
0,107,52
0,108,53
0,109,54
0,109,55
0,120,56
0,121,57
0,122,58
0,123,59
0,124,60
0,125,61
0,126,62
0,127,63
0,128,64
0,129,65
0,130,66
0,140,67
0,141,68
0,142,69
0,143,70
0,144,71
0,145,72
0,146,73
0,146,74
0,147,75
0,148,76
0,159,77
0,160,78
0,161,79
0,162,80
0,163,81
0,164,82
0,165,83
0,166,84
0,167,85
0,168,86
0,169,87
0,179,88
0,180,89
0,181,90
0,182,91
0,183,92
0,183,93
0,184,94
0,185,95
0,186,96
0,187,97
0,188,98
0,194,99
0,195,100
