id,since_start,progress
0,1,1
0,2,2
0,3,3
0,3,4
0,4,5
0,5,6
0,6,7
0,7,8
0,8,9
0,9,10
0,10,11
0,11,12
0,12,13
0,13,14
0,14,15
0,14,16
0,15,17
0,16,18
0,17,19
0,18,20
0,19,21
0,20,22
0,21,23
0,22,24
0,23,25
0,24,26
0,25,27
0,25,28
0,26,29
0,27,30
0,28,31
0,29,32
0,30,33
0,31,34
0,32,35
0,33,36
0,34,37
0,35,38
0,36,39
0,37,40
0,38,41
0,38,42
0,39,43
0,40,44
0,41,45
0,42,46
0,43,47
0,44,48
0,45,49
0,46,50
0,47,51
0,47,52
0,48,53
0,49,54
0,50,55
0,51,56
0,52,57
0,53,58
0,54,59
0,55,60
0,56,61
0,57,62
0,58,63
0,58,64
0,59,65
0,60,66
0,61,67
0,62,68
0,63,69
0,64,70
0,65,71
0,66,72
0,66,73
0,67,74
0,68,75
0,69,76
0,71,77
0,72,78
0,72,79
0,73,80
0,74,81
0,75,82
0,76,83
0,77,84
0,78,85
0,79,86
0,80,87
0,81,88
0,81,89
0,82,90
0,83,91
0,84,92
0,85,93
0,86,94
0,87,95
0,88,96
0,89,97
0,90,98
0,91,99
0,92,100
