id,since_start,progress
2,1,1
2,2,2
2,3,3
2,4,4
2,5,5
2,6,6
2,20,7
2,21,8
2,22,9
2,23,10
2,24,11
2,25,12
2,26,13
2,27,14
2,42,15
2,43,16
2,44,17
2,44,18
2,45,19
2,46,20
2,47,21
2,48,22
2,62,23
2,63,24
2,64,25
2,65,26
2,66,27
2,67,28
2,68,29
2,83,30
2,84,31
2,85,32
2,86,33
2,86,34
2,87,35
2,88,36
2,89,37
2,104,38
2,105,39
2,106,40
2,107,41
2,108,42
2,109,43
2,110,44
2,126,45
2,127,46
2,128,47
2,129,48
2,130,49
2,131,50
2,139,51
2,140,52
2,141,53
2,142,54
2,142,55
2,143,56
2,144,57
2,162,58
2,164,59
2,164,60
2,165,61
2,166,62
2,167,63
2,168,64
2,183,65
2,184,66
2,185,67
2,186,68
2,187,69
2,188,70
2,189,71
2,190,72
2,205,73
2,206,74
2,207,75
2,208,76
2,208,77
2,209,78
2,210,79
2,225,80
2,226,81
2,227,82
2,228,83
2,229,84
2,230,85
2,231,86
2,232,87
2,247,88
2,248,89
2,248,90
2,249,91
2,250,92
2,251,93
2,252,94
2,253,95
2,268,96
2,269,97
2,270,98
2,271,99
2,272,100
1,7,1
1,8,2
1,9,3
1,10,4
1,11,5
1,11,6
1,12,7
1,27,8
1,28,9
1,29,10
1,30,11
1,31,12
1,32,13
1,33,14
1,34,15
1,50,16
1,50,17
1,51,18
1,52,19
1,53,20
1,54,21
1,55,22
1,70,23
1,71,24
1,72,25
1,73,26
1,74,27
1,74,28
1,75,29
1,90,30
1,91,31
1,92,32
1,93,33
1,94,34
1,95,35
1,96,36
1,111,37
1,112,38
1,113,39
1,114,40
1,115,41
1,116,42
1,117,43
1,118,44
1,132,45
1,133,46
1,134,47
1,135,48
1,136,49
1,137,50
1,137,51
1,151,52
1,152,53
1,153,54
1,154,55
1,155,56
1,156,57
1,157,58
1,169,59
1,170,60
1,171,61
1,172,62
1,173,63
1,174,64
1,175,65
1,190,66
1,191,67
1,192,68
1,193,69
1,194,70
1,195,71
1,196,72
1,211,73
1,212,74
1,213,75
1,214,76
1,215,77
1,216,78
1,217,79
1,218,80
1,233,81
1,234,82
1,234,83
1,235,84
1,236,85
1,237,86
1,238,87
1,254,88
1,255,89
1,256,90
1,257,91
1,258,92
1,259,93
1,260,94
1,261,95
1,273,96
1,274,97
1,275,98
1,276,99
1,277,100
0,14,1
0,15,2
0,16,3
0,17,4
0,18,5
0,19,6
0,19,7
0,34,8
0,35,9
0,36,10
0,37,11
0,38,12
0,39,13
0,40,14
0,40,15
0,55,16
0,56,17
0,57,18
0,58,19
0,59,20
0,60,21
0,61,22
0,76,23
0,77,24
0,78,25
0,79,26
0,80,27
0,81,28
0,82,29
0,83,30
0,98,31
0,98,32
0,99,33
0,100,34
0,101,35
0,102,36
0,103,37
0,118,38
0,119,39
0,120,40
0,121,41
0,122,42
0,123,43
0,124,44
0,125,45
0,145,46
0,146,47
0,147,48
0,148,49
0,149,50
0,150,51
0,151,52
0,158,53
0,160,54
0,161,55
0,162,56
0,176,57
0,177,58
0,178,59
0,179,60
0,180,61
0,181,62
0,182,63
0,183,64
0,198,65
0,199,66
0,200,67
0,201,68
0,202,69
0,203,70
0,204,71
0,219,72
0,219,73
0,220,74
0,221,75
0,222,76
0,223,77
0,224,78
0,239,79
0,240,80
0,241,81
0,242,82
0,243,83
0,244,84
0,244,85
0,245,86
0,261,87
0,262,88
0,263,89
0,264,90
0,265,91
0,266,92
0,267,93
0,268,94
0,278,95
0,278,96
0,279,97
0,280,98
0,281,99
0,282,100
