id,since_start,progress
3,1,1
3,2,2
3,3,3
3,4,4
3,5,5
3,6,6
3,7,7
3,8,8
3,9,9
3,10,10
3,10,11
3,11,12
3,12,13
3,13,14
3,14,15
3,15,16
3,16,17
3,17,18
3,18,19
3,19,20
3,20,21
3,21,22
3,22,23
3,22,24
3,23,25
3,24,26
3,25,27
3,26,28
3,27,29
3,28,30
3,29,31
3,30,32
3,31,33
3,32,34
3,33,35
3,34,36
3,35,37
3,36,38
3,37,39
3,38,40
3,39,41
3,40,42
3,41,43
3,42,44
3,43,45
3,44,46
3,45,47
3,46,48
3,47,49
3,48,50
3,49,51
3,50,52
3,50,53
3,51,54
3,52,55
3,53,56
3,54,57
3,55,58
3,56,59
3,57,60
3,58,61
3,59,62
3,60,63
3,61,64
3,62,65
3,63,66
3,64,67
3,65,68
3,65,69
3,66,70
3,67,71
3,68,72
3,69,73
3,70,74
3,71,75
3,72,76
3,73,77
3,74,78
3,75,79
3,76,80
3,77,81
3,78,82
3,79,83
3,79,84
3,80,85
3,81,86
3,82,87
3,83,88
3,84,89
3,85,90
3,86,91
3,87,92
3,88,93
3,89,94
3,90,95
3,91,96
3,92,97
3,93,98
3,93,99
3,94,100
1,10,1
1,11,2
1,12,3
1,13,4
1,14,5
1,15,6
1,16,7
1,38,8
1,46,9
1,47,10
1,48,11
1,49,12
1,49,13
1,50,14
1,51,15
1,65,16
1,66,17
1,67,18
1,68,19
1,69,20
1,70,21
1,71,22
1,85,23
1,86,24
1,87,25
1,88,26
1,89,27
1,90,28
1,91,29
1,92,30
1,96,31
1,97,32
1,98,33
1,99,34
1,100,35
1,101,36
1,102,37
1,103,38
1,104,39
1,105,40
1,106,41
1,107,42
1,108,43
1,109,44
1,110,45
1,111,46
1,112,47
1,113,48
1,114,49
1,115,50
1,116,51
1,117,52
1,118,53
1,119,54
1,120,55
1,120,56
1,121,57
1,122,58
1,123,59
1,124,60
1,125,61
1,126,62
1,127,63
1,128,64
1,129,65
1,130,66
1,131,67
1,132,68
1,132,69
1,133,70
1,134,71
1,135,72
1,136,73
1,137,74
1,138,75
1,139,76
1,140,77
1,141,78
1,142,79
1,143,80
1,144,81
1,145,82
1,146,83
1,146,84
1,147,85
1,148,86
1,149,87
1,150,88
1,151,89
1,152,90
1,153,91
1,154,92
1,155,93
1,156,94
1,157,95
1,158,96
1,159,97
1,160,98
1,160,99
1,161,100
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,6,6
0,7,7
0,8,8
0,8,9
0,23,10
0,24,11
0,25,12
0,26,13
0,27,14
0,28,15
0,30,16
0,31,17
0,32,18
0,33,19
0,34,20
0,35,21
0,36,22
0,52,23
0,53,24
0,54,25
0,55,26
0,56,27
0,57,28
0,58,29
0,73,30
0,74,31
0,75,32
0,76,33
0,76,34
0,77,35
0,78,36
0,92,37
0,93,38
0,94,39
0,106,40
0,107,41
0,108,42
0,109,43
0,110,44
0,111,45
0,112,46
0,112,47
0,113,48
0,114,49
0,120,50
0,121,51
0,122,52
0,123,53
0,124,54
0,125,55
0,126,56
0,127,57
0,128,58
0,129,59
0,130,60
0,139,61
0,140,62
0,141,63
0,142,64
0,143,65
0,144,66
0,145,67
0,146,68
0,146,69
0,147,70
0,158,71
0,159,72
0,160,73
0,161,74
0,163,75
0,164,76
0,165,77
0,166,78
0,167,79
0,168,80
0,169,81
0,170,82
0,171,83
0,172,84
0,173,85
0,174,86
0,175,87
0,176,88
0,177,89
0,178,90
0,179,91
0,180,92
0,180,93
0,181,94
0,182,95
0,183,96
0,184,97
0,185,98
0,186,99
0,187,100
2,17,1
2,18,2
2,19,3
2,20,4
2,21,5
2,22,6
2,23,7
2,39,8
2,40,9
2,41,10
2,42,11
2,43,12
2,44,13
2,45,14
2,58,15
2,59,16
2,60,17
2,61,18
2,62,19
2,63,20
2,64,21
2,65,22
2,80,23
2,80,24
2,81,25
2,82,26
2,83,27
2,84,28
2,85,29
2,96,30
2,97,31
2,97,32
2,98,33
2,99,34
2,100,35
2,101,36
2,102,37
2,103,38
2,104,39
2,105,40
2,116,41
2,117,42
2,118,43
2,119,44
2,119,45
2,130,46
2,131,47
2,132,48
2,133,49
2,134,50
2,135,51
2,136,52
2,137,53
2,138,54
2,149,55
2,149,56
2,150,57
2,151,58
2,152,59
2,153,60
2,154,61
2,155,62
2,156,63
2,157,64
2,162,65
2,163,66
2,164,67
2,165,68
2,166,69
2,167,70
2,168,71
2,169,72
2,170,73
2,171,74
2,172,75
2,173,76
2,174,77
2,175,78
2,176,79
2,177,80
2,178,81
2,179,82
2,179,83
2,180,84
2,181,85
2,182,86
2,183,87
2,184,88
2,185,89
2,186,90
2,187,91
2,188,92
2,190,93
2,190,94
2,191,95
2,192,96
2,193,97
2,194,98
2,195,99
2,196,100
