id,since_start,progress
0,1,1
0,2,2
0,3,3
0,4,4
0,5,5
0,5,6
0,6,7
0,7,8
0,8,9
0,17,10
0,18,11
0,19,12
0,20,13
0,21,14
0,21,15
0,22,16
0,23,17
0,24,18
0,25,19
0,26,20
0,27,21
0,28,22
0,29,23
0,30,24
0,31,25
0,32,26
0,32,27
0,33,28
0,34,29
0,35,30
0,36,31
0,37,32
0,38,33
0,39,34
0,40,35
0,41,36
0,42,37
0,42,38
0,43,39
0,44,40
0,45,41
0,46,42
0,47,43
0,48,44
0,49,45
0,50,46
0,51,47
0,52,48
0,53,49
0,54,50
0,55,51
0,56,52
0,56,53
0,58,54
0,59,55
0,60,56
0,61,57
0,62,58
0,63,59
0,64,60
0,65,61
0,65,62
0,66,63
0,67,64
0,68,65
0,69,66
0,70,67
0,71,68
0,72,69
0,73,70
0,74,71
0,75,72
0,76,73
0,77,74
0,77,75
0,78,76
0,79,77
0,80,78
0,81,79
0,82,80
0,83,81
0,83,82
0,84,83
0,85,84
0,86,85
0,87,86
0,88,87
0,89,88
0,90,89
0,91,90
0,92,91
0,93,92
0,93,93
0,94,94
0,95,95
0,96,96
0,97,97
0,98,98
0,99,99
0,100,100
1,10,1
1,11,2
1,12,3
1,13,4
1,14,5
1,15,6
1,15,7
1,16,8
1,17,9
1,18,10
1,19,11
1,20,12
1,21,13
1,22,14
1,23,15
1,24,16
1,25,17
1,26,18
1,27,19
1,27,20
1,28,21
1,29,22
1,30,23
1,31,24
1,32,25
1,33,26
1,34,27
1,35,28
1,36,29
1,37,30
1,37,31
1,38,32
1,39,33
1,40,34
1,41,35
1,42,36
1,43,37
1,44,38
1,45,39
1,46,40
1,47,41
1,47,42
1,48,43
1,49,44
1,50,45
1,51,46
1,52,47
1,53,48
1,54,49
1,55,50
1,56,51
1,57,52
1,58,53
1,59,54
1,60,55
1,61,56
1,61,57
1,62,58
1,63,59
1,64,60
1,65,61
1,66,62
1,67,63
1,68,64
1,69,65
1,70,66
1,71,67
1,72,68
1,73,69
1,74,70
1,75,71
1,76,72
1,77,73
1,78,74
1,79,75
1,80,76
1,81,77
1,82,78
1,83,79
1,84,80
1,84,81
1,85,82
1,86,83
1,87,84
1,88,85
1,89,86
1,90,87
1,91,88
1,92,89
1,93,90
1,94,91
1,94,92
1,95,93
1,96,94
1,97,95
1,98,96
1,99,97
1,100,98
1,101,99
1,102,100
